x,y,CI_left,CI_right,tem,RH,temp,lo,upRH,uptemp,uppRH,WindSpeed,windMax
1,83489.44884,82838.87045,84140.02722,266.0958444,56.90347704,-6.054155647,84362.96083,60.48,-4.854155647,59.90347704,3.252891918,3.5
2,83544.98331,82955.22864,84134.73798,268.3842813,54.51823324,-3.765718749,84366.55105,58.18423324,-1.565718749,57.51823324,2.948773354,3.2
3,83369.54725,83039.37655,83699.71795,276.5909231,53.8514513,4.440923137,84094.9806,59,4.440923137,56.8514513,1.650853499,2.3
4,83287.7545,82935.0605,83640.44849,281.9180078,47.79617114,9.768007795,83957.47927,50.79617114,10.7680078,50.79617114,1.763469964,2.3
5,83086.79881,82813.29674,83360.30088,286.8444139,50.56874575,14.69441386,83735.63127,53.56874575,16.69441386,53.56874575,1.367510361,1.836
6,82791.84154,82615.18855,82968.49452,291.0799935,56.30625422,18.92999348,83437.15908,59.30625422,18.92999348,59.30625422,0.88326491,1.273
7,82732.93948,82487.12035,82978.75861,293.4143846,62.93275577,21.26438462,83438.92084,65.93275577,21.38438462,65.93275577,1.229095652,1.27
8,82911.56459,82656.70233,83166.42686,292.4192656,64.47377462,20.26926556,83632.52332,67.47377462,20.38926556,67.47377462,1.274311327,1.278
9,83371.13288,83202.76758,83539.49818,287.0869786,59.44174896,14.93697862,84027.99697,62.44174896,15.93697862,62.44174896,0.841826503,1.1
10,83647.39684,83346.87966,83947.91402,280.4146777,52.00685189,8.264677652,84276.85988,55.00685189,9.464677652,55.00685189,1.502585907,1.51
11,83678.98658,83191.43288,84166.54027,274.0742159,56.30221124,1.924215926,84463.96692,59.30221124,2.624215926,59.30221124,2.437768483,2.67
12,83763.31861,83192.0834,84334.55383,267.5520344,56.03581047,-4.597965617,84599.84807,59.03581047,-2.097965617,59.03581047,2.856176086,3.21
